state,gender,education,age,n
Nordrhein-Westfalen,male,5,8,69200
Rheinland-Pfalz,female,-1,1,0
Rheinland-Pfalz,female,-1,2,0
Rheinland-Pfalz,female,-1,3,0
Rheinland-Pfalz,female,-1,4,0
Rheinland-Pfalz,female,-1,5,0
Rheinland-Pfalz,female,-1,6,0
Rheinland-Pfalz,female,-1,7,0
Rheinland-Pfalz,female,-1,8,0
Rheinland-Pfalz,female,0,1,0
Rheinland-Pfalz,female,0,2,0
Rheinland-Pfalz,female,0,3,0
Rheinland-Pfalz,female,0,4,0
Rheinland-Pfalz,female,0,5,0
Rheinland-Pfalz,female,0,6,0
Rheinland-Pfalz,female,0,7,0
Rheinland-Pfalz,female,0,8,0
Rheinland-Pfalz,female,2,1,92570
Rheinland-Pfalz,female,2,2,42120
Rheinland-Pfalz,female,2,3,36270
Rheinland-Pfalz,female,2,4,53760
Rheinland-Pfalz,female,2,5,64720
Rheinland-Pfalz,female,2,6,70470
Rheinland-Pfalz,female,2,7,121220
Rheinland-Pfalz,female,2,8,90150
Rheinland-Pfalz,female,4,1,14500
Rheinland-Pfalz,female,4,2,144050
Rheinland-Pfalz,female,4,3,118000
Rheinland-Pfalz,female,4,4,192650
